"Y" "xVente.xVente.1" "xVente.xVente.2" "xVente.xVente.3" "xVente.xVente.4" "xVente.xVente.5" "xVente.xVente.6" "xVente.xVente.7" "xVente.xVente.8" "xVente.xVente.9" "xVente.xVente.10" "xVente.xVente.11" "xVente.xVente.12" "xVente.xVente.13" "xVente.xVente.14" "xVente.xVente.15" "xVente.xVente.16" "xVente.xVente.17" "xVente.xVente.18" "xVente.xVente.19" "xVente.xVente.20" "xVente.xVente.21" "xVente.xVente.22" "xVente.xVente.23" "xVente.xVente.24" "xVente.xVente.25" "xVente.xVente.26" "xVente.xVente.27" "xVente.xVente.28" "xVente.xVente.29" "xVente.xVente.30" "xVente.xVente.31" "xVente.xVente.32" "xVente.xVente.33" "xVente.xVente.34" "xVente.xVente.35" "xVente.xVente.36" "xVente.xVente.37" "xVente.xVente.38" "xVente.xVente.39" "xVente.xVente.40" "zVente.zVente.1" "zVente.zVente.2" "zVente.zVente.3" "zVente.zVente.4" "zVente.zVente.5" "zVente.zVente.6" "zVente.zVente.7" "zVente.zVente.8" "zVente.zVente.9" "zVente.zVente.10" "zVente.zVente.11" "zVente.zVente.12" "zVente.zVente.13" "zVente.zVente.14" "zVente.zVente.15" "zVente.zVente.16" "zVente.zVente.17" "zVente.zVente.18" "zVente.zVente.19" "zVente.zVente.20" "zVente.zVente.21" "zVente.zVente.22" "zVente.zVente.23" "zVente.zVente.24" "zVente.zVente.25" "zVente.zVente.26" "zVente.zVente.27" "zVente.zVente.28" "zVente.zVente.29" "zVente.zVente.30" "zVente.zVente.31" "zVente.zVente.32" "zVente.zVente.33" "zVente.zVente.34" "zVente.zVente.35" "zVente.zVente.36" "zVente.zVente.37" "zVente.zVente.38" "zVente.zVente.39" "zVente.zVente.40" "xMoteur.xMoteur.1" "xMoteur.xMoteur.2" "xMoteur.xMoteur.3" "xMoteur.xMoteur.4" "xMoteur.xMoteur.5" "xMoteur.xMoteur.6" "xMoteur.xMoteur.7" "xMoteur.xMoteur.8" "xMoteur.xMoteur.9" "xMoteur.xMoteur.10" "zMoteur.zMoteur.1" "zMoteur.zMoteur.2" "zMoteur.zMoteur.3" "zMoteur.zMoteur.4" "zMoteur.zMoteur.5" "zMoteur.zMoteur.6" "zMoteur.zMoteur.7" "zMoteur.zMoteur.8" "zMoteur.zMoteur.9" "zMoteur.zMoteur.10" "xInfo.xInfo.1" "xInfo.xInfo.2" "xInfo.xInfo.3" "xInfo.xInfo.4" "xInfo.xInfo.5" "xInfo.xInfo.6" "xInfo.xInfo.7" "xInfo.xInfo.8" "xInfo.xInfo.9" "xInfo.xInfo.10" "zInfo.zInfo.1" "zInfo.zInfo.2" "zInfo.zInfo.3" "zInfo.zInfo.4" "zInfo.zInfo.5" "zInfo.zInfo.6" "zInfo.zInfo.7" "zInfo.zInfo.8" "zInfo.zInfo.9" "zInfo.zInfo.10" "xRecherche.xRecherche.1" "xRecherche.xRecherche.2" "xRecherche.xRecherche.3" "xRecherche.xRecherche.4" "xRecherche.xRecherche.5" "zRecherche.zRecherche.1" "zRecherche.zRecherche.2" "zRecherche.zRecherche.3" "zRecherche.zRecherche.4" "zRecherche.zRecherche.5" "xForum.xForum.1" "xForum.xForum.2" "xForum.xForum.3" "xForum.xForum.4" "xForum.xForum.5" "xForum.xForum.6" "xForum.xForum.7" "xForum.xForum.8" "xForum.xForum.9" "xForum.xForum.10" "zForum.zForum.1" "zForum.zForum.2" "zForum.zForum.3" "zForum.zForum.4" "zForum.zForum.5" "zForum.zForum.6" "zForum.zForum.7" "zForum.zForum.8" "zForum.zForum.9" "zForum.zForum.10"
"11" 0 4.54 1.84 3.59 4.01 5.12 1.58 3.2 0.03 1.79 2.5 4.58 2.71 2.05 6.22 7.76 5.07 0.5 5.81 0.95 4.96 2.04 7.68 0.39 1.18 3.3 10.01 0.71 8.88 4.93 7.9 0.68 1.48 8.21 4.86 2.56 12.05 5.65 5.06 5.95 0.57 6 3 6 5 4 1 1 2 1 1 4 2 4 7 11 9 1 11 2 5 5 10 1 2 2 12 1 10 4 8 1 1 7 1 10 14 6 4 7 2 26.33 16.63 17.01 7.5 13.43 2.35 4.75 9.38 11.09 15.79 31 21 10 8 19 3 3 14 12 13 6.43 4.98 6.06 7.13 9.34 2.15 1.34 3.41 1.21 3.36 9 2 6 5 3 1 3 2 4 2 10.51 0.87 1.76 3.24 10.04 7 3 4 9 8 0.03 3.14 0.76 2.96 6.93 1.28 0.47 1.44 2.04 4.06 9 3 10 3 6 2 4 2 5 1
"12" 1 6.32 0.56 3.3 3.97 2.16 0.34 0.48 0.87 2.13 0.72 4.27 0.14 0.86 3.52 7.23 5.21 1.12 5.62 1.22 2.79 1.53 8.33 0.56 0.02 3.26 8.14 0.16 7.32 2.28 10.07 0.79 1.13 8.56 0.93 0.53 8.66 4.02 4.01 3.23 2.21 12 7 6 3 6 1 4 1 3 1 6 2 1 10 11 12 1 10 1 5 3 7 2 3 3 9 3 8 4 15 3 2 9 2 3 10 9 4 3 1 21.73 14.58 15.45 9.08 12.54 3.16 4.96 8.8 9.67 16.41 19 14 15 10 17 2 3 10 6 14 6.66 5.6 6.24 5.25 7.66 2.99 2.93 4.95 2.2 3.32 8 2 9 5 9 1 3 1 3 1 7.71 2.81 1.57 3.21 5.85 5 1 5 6 8 0.29 5.03 2.14 4.37 4.63 4.66 0.96 2.17 2.72 6.16 4 4 8 5 5 1 6 1 4 1
"13" 0 7.21 1.89 4.78 4.91 7.37 1.83 1.58 0.67 1.91 0.19 5.81 1.85 2.59 5.79 11.01 6.46 2.8 8.91 3.68 8.27 3.06 12.01 0.24 3.06 2.31 10.72 3.49 8.1 4.11 9.4 0.76 0.46 9.03 0.17 5.72 11.85 6.36 4.26 5.22 1.05 7 4 10 3 5 1 5 1 2 1 6 2 2 6 7 11 2 14 3 9 3 11 1 3 4 11 2 7 3 13 3 1 9 3 3 8 8 7 5 1 24.3 12.3 14.88 8.28 11.86 0.54 4.59 9.54 9.6 15.9 23 25 18 5 15 1 5 12 10 15 6.63 5.96 5.1 5.48 7.2 3.73 3.36 3.07 3.2 3.17 11 3 7 6 5 1 4 1 4 1 8.48 3.62 2.09 3.16 9.51 6 3 5 8 4 0.06 4.31 0.21 3.73 5.46 2.82 0.48 1.42 0.92 4.92 7 2 4 9 7 2 3 1 2 1
"14" 1 4.46 2.24 6.35 6.62 4.56 1.18 3.22 2.44 5.04 3.12 4.14 5.29 3.59 4.99 8.18 7.68 1.8 7.72 4.56 5.55 6.12 9.54 1.86 1.09 5.47 11.56 3.42 8.61 5.91 9.68 0.79 0.65 8.89 4.18 5.23 10.92 4.7 4.8 7.78 0.45 10 5 5 4 6 1 5 1 6 1 6 1 2 8 14 7 2 7 2 8 4 7 1 3 2 13 1 13 1 9 2 2 12 1 4 15 7 3 8 1 25.24 16.14 17.02 8.68 15.51 2.96 4.35 10.13 9.45 15.61 43 16 22 11 10 3 5 11 11 19 5.58 2.94 4.02 7.4 8.97 3.45 1.65 2.04 2.18 1.83 8 2 3 4 9 1 4 1 4 1 8.1 3.46 0.29 3.85 8.88 12 3 7 4 4 0.04 2.46 1.1 1.61 5.8 1.09 1.23 0.82 3.41 4.96 12 2 5 6 6 1 3 1 2 1
"15" 1 8.21 0.05 6.9 4.21 5.41 1.14 1.34 2.07 1.98 3.67 4.73 2.37 1.17 3.64 10.87 7.62 0.26 7.02 0.42 3.15 2.01 13.49 1.66 0.8 2.86 9.92 0.9 7.04 2.93 10.89 3.3 0.43 11.62 0.67 3.08 10.61 5.89 6.18 5.86 2.06 4 3 7 4 11 1 6 2 2 1 6 2 2 4 18 6 2 7 3 9 7 9 2 2 2 10 2 11 7 11 1 2 14 1 4 7 4 9 9 2 26.15 15.79 16.87 8.38 13.38 2.06 3.39 9.75 10.73 15.36 32 12 16 7 15 3 7 12 19 14 6.05 3.41 4.84 6.45 8.28 4.26 4.09 4.91 2.67 2.53 5 3 6 6 5 1 1 1 2 3 8.56 2.18 3.76 0.81 7.91 6 2 6 5 4 0.77 3.68 2.12 2.16 4.51 2.82 1.31 3.02 2.04 5.09 5 2 9 10 8 1 1 1 3 1
"16" 3 6.72 4 3.48 4.55 6.89 1.08 2.07 0.57 3.59 0.66 5.98 1.03 2.29 5.94 10.09 5.9 1.25 9.11 2.22 5.21 1.75 11.18 1.25 0.4 2.1 10.38 0.41 8.93 2.98 8.22 0.54 2.93 9.57 2.85 2.67 11.75 7.14 7.14 6.02 1.02 2 3 7 4 11 1 2 1 1 3 6 2 1 10 14 5 1 10 3 7 1 16 1 2 7 12 1 12 6 8 1 3 8 1 3 6 7 3 6 1 27.01 17.19 17.8 9 16.66 1.03 3.15 10.34 10.23 16.23 26 10 11 11 18 2 4 12 11 20 5.58 3.34 6.02 7.09 8.78 3.52 2.51 4.24 1.38 2.02 8 4 9 5 12 1 5 1 5 1 10.52 3.13 0.18 5.5 12.73 14 7 4 6 5 1.04 1.46 0.31 1.23 5.59 0.22 0.56 0.59 1.39 3.49 11 1 6 3 6 1 7 1 7 2
"17" 0 5.85 1.85 6.54 4.44 4.61 0.13 3.09 0.62 0.87 0.87 5.25 2.04 2.64 7.28 7.29 6.93 0.53 6.64 2.63 6.92 4.05 10.81 0.93 0.63 2.31 10.71 2.89 7.85 3.05 10.96 0.29 2.07 8.42 3.27 4.65 11.38 4.56 6.17 3.81 1.23 7 3 8 8 7 1 5 1 3 1 7 1 2 9 7 8 3 8 5 7 3 8 1 2 1 7 4 8 3 13 2 3 10 1 4 18 7 6 8 4 22.23 15.37 17.51 7.4 14.05 0.6 2.61 9.93 10.88 14 29 8 15 9 15 3 6 9 15 18 5.76 4.28 4.95 6.3 8.44 2.74 1.1 2.73 1.77 3.17 10 4 7 4 14 2 1 1 4 1 9.6 1.82 0.83 3.67 9.21 11 3 8 7 5 0.25 3.52 0.33 1.96 4.69 0.14 0.2 1.43 1.5 4.82 8 3 3 6 9 1 5 1 1 1
"18" 7 5.76 1.69 5.98 5.5 1.71 3.08 2.5 0.99 2.36 0.67 4.16 0.72 1.03 5.2 7.72 6.36 0.6 7.85 0.83 2.74 1.57 9.38 0.31 1.62 2.72 8.45 0.29 7 2.03 8.19 0.44 0.97 9.95 0.61 2.18 6.29 7.51 5.08 6.42 0.15 7 4 5 11 6 1 3 1 4 3 5 2 2 6 7 4 3 8 1 4 2 10 2 2 1 9 1 6 2 8 1 3 5 1 3 11 8 5 8 3 27.62 13.08 14.23 7.32 12.37 1.05 4.75 8.75 9.23 15.34 23 17 13 10 17 3 7 8 12 19 6.27 3.63 4.87 5.89 8.04 3.63 1.89 3.91 3.69 3.14 10 4 6 5 4 2 4 1 5 1 11.51 3.09 1.57 7.58 14.96 7 3 5 4 6 0.92 3.44 0.6 5.06 6.57 4.22 0.73 3.27 1.46 4.92 7 4 8 7 8 2 4 1 3 1
"19" 1 5.57 1.44 5.33 3.64 4.69 2.06 0.31 2.44 0.83 0.13 4.13 1.71 1.11 4.26 4.63 4.94 0.61 3 0.66 6.51 3.45 6.93 2.19 1.54 4.02 11.09 0.28 6.77 1.03 8.95 2.34 2.72 6.56 0.41 0.12 9.24 0.7 6.95 4.65 2.36 9 3 7 4 5 1 3 1 4 1 8 1 2 5 6 5 1 9 3 6 3 10 1 2 3 5 2 11 3 9 1 4 9 3 3 4 6 6 5 2 29.62 15.09 16.35 7.61 16.05 1.37 2.03 8.84 8.9 15.14 34 23 12 8 11 4 4 13 7 16 5.75 4.7 5.45 5.19 7.19 3.78 3.42 2.99 1.98 2.84 11 3 3 5 5 1 3 1 4 1 9.41 0.85 1.58 2.61 7.92 9 3 6 6 9 0.3 5.3 0.16 3.7 4.94 1.87 0.26 0.86 0.04 4.83 7 3 6 3 5 3 5 3 4 1
"20" 1 8.42 3.76 7.12 3.33 3.26 0.9 0.89 1.89 1.88 0 7.45 0.99 0.68 5.51 6.99 7.21 1.13 5.36 2.23 4.14 0.72 9.33 0.91 2.34 4.86 9.98 0.25 7.34 1.88 8.64 1.33 1.68 9.26 0.93 0.04 10.55 7.31 7.62 4.66 1.85 6 2 8 8 4 2 3 1 6 1 9 2 2 7 8 10 2 6 4 8 3 7 1 2 4 3 2 9 4 14 3 1 6 2 4 11 7 7 6 1 25.77 15.12 17.24 9.32 14.35 1.97 4.72 10.76 10.35 16.74 27 15 21 8 20 1 7 11 11 14 4.78 3.71 5.58 5.75 8.47 2.46 1.1 2.04 0.92 2.07 5 2 11 1 9 1 7 1 1 1 8.22 3.62 3.11 1.98 7.99 6 2 5 10 4 1.1 2.95 1.51 2.1 3.69 2.62 0.84 1.34 0.71 4.96 11 2 5 2 8 1 5 1 4 1
"21" 2 4.58 1.06 5.24 6.57 4 1.41 2.44 1.14 3.91 0.66 4.66 0.51 1.73 5.77 7.8 7.31 0.89 7.91 2.61 5.21 3.62 10.05 2.2 1.08 2.6 10.62 0.68 10.55 3.29 9.32 1.31 1.87 7.59 0.58 2.67 11.13 6.58 5.33 6.51 0.55 9 3 3 4 4 1 4 1 4 1 4 2 2 5 7 6 2 8 3 3 1 12 1 3 6 8 1 7 3 6 1 1 14 4 3 14 7 4 5 1 26.97 15.16 15.48 8.34 13.45 2.87 0.66 10.84 10.72 13.47 34 13 18 10 9 2 9 11 10 18 5.22 4.01 5.02 4.71 7.11 3.88 2.79 3.11 1.49 2.82 12 4 1 5 13 3 3 2 2 1 11.52 3.98 1.27 7.63 15.49 9 1 6 7 4 0.46 0.73 1.39 3.22 5.7 1.87 0.6 2.36 2.78 3.27 9 6 9 4 5 3 2 2 2 1
"22" 0 7.44 5.33 7.5 6.64 3.37 3.07 4.61 3.06 4.05 2.4 7.38 1.64 4.31 6.86 8.56 7.91 2.93 9.18 3.58 6.33 3.96 13.09 0.47 3.64 4.98 11.35 2.63 7.39 1.3 12.38 0.32 2.74 7.14 1.65 1.7 9.68 3.98 5.63 8.56 0.18 7 5 3 6 7 1 9 1 3 2 8 4 1 8 10 10 1 9 1 6 4 8 2 1 4 11 1 14 4 9 2 3 8 2 4 11 7 5 7 2 24.7 13.17 15.88 8.63 12.41 2.83 5.7 10.45 9.38 15.95 25 17 22 10 12 3 4 10 8 17 6.23 3.97 5.48 5.78 8.79 3.2 1.7 3.83 1.48 2.86 7 6 4 8 12 1 2 1 2 3 9.3 4.17 2.11 7.68 13.42 3 2 9 6 8 0.05 3.2 0.91 3.29 3.93 3.16 0.48 1.59 0.5 5.27 8 3 7 5 8 2 8 1 5 1
